STATISTIC Label,Year,Type of Animal,Region,UNIT,VALUE
Number of Livestock in June,2011,Cattle: under 1 year,South-West,000 Head,369.4
Number of Livestock in June,2012,Dairy cows,Border,000 Head,103.3
Number of Livestock in June,2012,Dairy cows,Midland,000 Head,79
Number of Livestock in June,2012,Dairy cows,West,000 Head,48.6
Number of Livestock in June,2012,Dairy cows,Dublin plus Mid East,000 Head,78.7
Number of Livestock in June,2012,Dairy cows,Mid-West,000 Head,182.1
Number of Livestock in June,2012,Dairy cows,South-East,000 Head,259.2
Number of Livestock in June,2012,Dairy cows,South-West,000 Head,390
Number of Livestock in June,2012,Other cows,Border,000 Head,202.9
Number of Livestock in June,2012,Other cows,Midland,000 Head,146.1
Number of Livestock in June,2012,Other cows,West,000 Head,251.1
Number of Livestock in June,2012,Other cows,Dublin plus Mid East,000 Head,91
Number of Livestock in June,2012,Other cows,Mid-West,000 Head,159.5
Number of Livestock in June,2012,Other cows,South-East,000 Head,157.3
Number of Livestock in June,2012,Other cows,South-West,000 Head,140.8
Number of Livestock in June,2012,Bulls,Border,000 Head,8.8
Number of Livestock in June,2012,Bulls,Midland,000 Head,5.6
Number of Livestock in June,2012,Bulls,West,000 Head,9
Number of Livestock in June,2012,Bulls,Dublin plus Mid East,000 Head,3.6
Number of Livestock in June,2012,Bulls,Mid-West,000 Head,7.7
Number of Livestock in June,2012,Bulls,South-East,000 Head,8.1
Number of Livestock in June,2012,Bulls,South-West,000 Head,10
Number of Livestock in June,2012,Cattle: 2 years and over,Border,000 Head,89.3
Number of Livestock in June,2012,Cattle: 2 years and over,Midland,000 Head,106.8
Number of Livestock in June,2012,Cattle: 2 years and over,West,000 Head,108.8
Number of Livestock in June,2012,Cattle: 2 years and over,Dublin plus Mid East,000 Head,85.5
Number of Livestock in June,2012,Cattle: 2 years and over,Mid-West,000 Head,104.1
Number of Livestock in June,2012,Cattle: 2 years and over,South-East,000 Head,126.7
Number of Livestock in June,2012,Cattle: 2 years and over,South-West,000 Head,106.4
Number of Livestock in June,2012,Cattle: 1-2 years,Border,000 Head,208
Number of Livestock in June,2012,Cattle: 1-2 years,Midland,000 Head,214.1
Number of Livestock in June,2012,Cattle: 1-2 years,West,000 Head,213.7
Number of Livestock in June,2012,Cattle: 1-2 years,Dublin plus Mid East,000 Head,148.3
Number of Livestock in June,2012,Cattle: 1-2 years,Mid-West,000 Head,233.5
Number of Livestock in June,2012,Cattle: 1-2 years,South-East,000 Head,325.8
Number of Livestock in June,2012,Cattle: 1-2 years,South-West,000 Head,304.9
Number of Livestock in June,2012,Cattle: under 1 year,Border,000 Head,271.4
Number of Livestock in June,2012,Cattle: under 1 year,Midland,000 Head,231.7
Number of Livestock in June,2012,Cattle: under 1 year,West,000 Head,283.5
Number of Livestock in June,2012,Cattle: under 1 year,Dublin plus Mid East,000 Head,153.5
Number of Livestock in June,2012,Cattle: under 1 year,Mid-West,000 Head,302.4
Number of Livestock in June,2012,Cattle: under 1 year,South-East,000 Head,388
Number of Livestock in June,2012,Cattle: under 1 year,South-West,000 Head,405.5
Number of Livestock in June,2013,Dairy cows,Border,000 Head,103.3
Number of Livestock in June,2013,Dairy cows,Midland,000 Head,81.4
Number of Livestock in June,2013,Dairy cows,West,000 Head,49.3
Number of Livestock in June,2013,Dairy cows,Dublin plus Mid East,000 Head,79.7
Number of Livestock in June,2013,Dairy cows,Mid-West,000 Head,184.4
Number of Livestock in June,2013,Dairy cows,South-East,000 Head,269.9
Number of Livestock in June,2013,Dairy cows,South-West,000 Head,395.2
Number of Livestock in June,2013,Other cows,Border,000 Head,202.7
Number of Livestock in June,2013,Other cows,Midland,000 Head,146.1
Number of Livestock in June,2013,Other cows,West,000 Head,251.7
Number of Livestock in June,2013,Other cows,Dublin plus Mid East,000 Head,92.8
Number of Livestock in June,2013,Other cows,Mid-West,000 Head,159.2
Number of Livestock in June,2013,Other cows,South-East,000 Head,158.9
Number of Livestock in June,2013,Other cows,South-West,000 Head,138.9
Number of Livestock in June,2013,Bulls,Border,000 Head,8.7
Number of Livestock in June,2013,Bulls,Midland,000 Head,5.6
Number of Livestock in June,2013,Bulls,West,000 Head,8.9
Number of Livestock in June,2013,Bulls,Dublin plus Mid East,000 Head,3.6
Number of Livestock in June,2013,Bulls,Mid-West,000 Head,7.6
Number of Livestock in June,2013,Bulls,South-East,000 Head,8
Number of Livestock in June,2013,Bulls,South-West,000 Head,9.9
Number of Livestock in June,2013,Cattle: 2 years and over,Border,000 Head,89.4
Number of Livestock in June,2013,Cattle: 2 years and over,Midland,000 Head,113.8
Number of Livestock in June,2013,Cattle: 2 years and over,West,000 Head,117.3
Number of Livestock in June,2013,Cattle: 2 years and over,Dublin plus Mid East,000 Head,90.6
Number of Livestock in June,2013,Cattle: 2 years and over,Mid-West,000 Head,111.5
Number of Livestock in June,2013,Cattle: 2 years and over,South-East,000 Head,135.6
Number of Livestock in June,2013,Cattle: 2 years and over,South-West,000 Head,111.8
Number of Livestock in June,2013,Cattle: 1-2 years,Border,000 Head,224.7
Number of Livestock in June,2013,Cattle: 1-2 years,Midland,000 Head,233.7
Number of Livestock in June,2013,Cattle: 1-2 years,West,000 Head,228.3
Number of Livestock in June,2013,Cattle: 1-2 years,Dublin plus Mid East,000 Head,164.6
Number of Livestock in June,2013,Cattle: 1-2 years,Mid-West,000 Head,254.1
Number of Livestock in June,2013,Cattle: 1-2 years,South-East,000 Head,360.8
Number of Livestock in June,2013,Cattle: 1-2 years,South-West,000 Head,332.3
Number of Livestock in June,2013,Cattle: under 1 year,Border,000 Head,264.8
Number of Livestock in June,2013,Cattle: under 1 year,Midland,000 Head,220.5
Number of Livestock in June,2013,Cattle: under 1 year,West,000 Head,272.8
Number of Livestock in June,2013,Cattle: under 1 year,Dublin plus Mid East,000 Head,149.2
Number of Livestock in June,2013,Cattle: under 1 year,Mid-West,000 Head,292.4
Number of Livestock in June,2013,Cattle: under 1 year,South-East,000 Head,380
Number of Livestock in June,2013,Cattle: under 1 year,South-West,000 Head,388.8
Number of Livestock in June,2014,Dairy cows,Border,000 Head,109.8
Number of Livestock in June,2014,Dairy cows,Midland,000 Head,85.1
Number of Livestock in June,2014,Dairy cows,West,000 Head,53.1
Number of Livestock in June,2014,Dairy cows,Dublin plus Mid East,000 Head,85.1
Number of Livestock in June,2014,Dairy cows,Mid-West,000 Head,194.6
Number of Livestock in June,2014,Dairy cows,South-East,000 Head,282.5
Number of Livestock in June,2014,Dairy cows,South-West,000 Head,416.2
Number of Livestock in June,2014,Other cows,Border,000 Head,199.2
Number of Livestock in June,2014,Other cows,Midland,000 Head,140.9
Number of Livestock in June,2014,Other cows,West,000 Head,249.1
Number of Livestock in June,2014,Other cows,Dublin plus Mid East,000 Head,91.5
Number of Livestock in June,2014,Other cows,Mid-West,000 Head,156.4
Number of Livestock in June,2014,Other cows,South-East,000 Head,155.9
Number of Livestock in June,2014,Other cows,South-West,000 Head,136.1
Number of Livestock in June,2014,Bulls,Border,000 Head,8.9
