"Statistic Label","Region","Type of Animal","Year","UNIT","VALUE"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1998","000 Head","158.2"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","1999","000 Head","164"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","2000","000 Head","161.5"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","2001","000 Head","149.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","2002","000 Head","133.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","2003","000 Head","143.6"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 2 years and over","2004","000 Head","140.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1991","000 Head","275"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1992","000 Head","262.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1993","000 Head","251.8"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1994","000 Head","251.4"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1995","000 Head","254.1"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1996","000 Head","259"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1997","000 Head","270.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1998","000 Head","274.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","1999","000 Head","252.1"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","2000","000 Head","207.6"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","2001","000 Head","209.2"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","2002","000 Head","218.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","2003","000 Head","217.2"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: 1-2 years","2004","000 Head","214.2"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1991","000 Head","259"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1992","000 Head","247.3"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1993","000 Head","257"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1994","000 Head","251.4"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1995","000 Head","252.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1996","000 Head","271.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1997","000 Head","288.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1998","000 Head","296.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","1999","000 Head","267.9"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","2000","000 Head","252.4"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","2001","000 Head","254.5"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","2002","000 Head","256.7"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","2003","000 Head","254.6"
"Number of Livestock in June (1991 - 2004)","West","Other cattle: under 1 year","2004","000 Head","251.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1991","000 Head","100.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1992","000 Head","95.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1993","000 Head","93.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1994","000 Head","94.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1995","000 Head","93"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1996","000 Head","92.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1997","000 Head","92.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1998","000 Head","90.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","1999","000 Head","90.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","2000","000 Head","87.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","2001","000 Head","86.6"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","2002","000 Head","84.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","2003","000 Head","82.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Dairy cows","2004","000 Head","81.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1991","000 Head","59"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1992","000 Head","65.3"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1993","000 Head","70.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1994","000 Head","73.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1995","000 Head","76.6"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1996","000 Head","81.9"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1997","000 Head","86.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1998","000 Head","91.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","1999","000 Head","89.6"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","2000","000 Head","85.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","2001","000 Head","82.8"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","2002","000 Head","81.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","2003","000 Head","86.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Other cows","2004","000 Head","89.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1991","000 Head","1.9"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1992","000 Head","2.2"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1993","000 Head","2.5"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1994","000 Head","2.7"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1995","000 Head","3.1"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1996","000 Head","3.4"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1997","000 Head","3.8"
"Number of Livestock in June (1991 - 2004)","Dublin plus Mid East","Bulls","1998","000 Head","3.8"
